title,company-name,location,type,salary_package,company_requirements
MNC COMPANY IS HIRING -DAY SHIFT,HGS,"Bengaluru, Karnataka",Full-time," Up to ₹4,00,000","Qualifications Bcom,BBM,BBA,BSC,MBA,MA,MCA,MSC,BA, BE,…"
International Customer support |Gaming Process| Email & Chat,IntouchCX,"Electronic City, Bengaluru, Karnataka",Full-time,"₹25,458","Providing white glove service and having the ability to provide an overall excellent customer experience.
Have excellent judgment skills to be able to properly…"
IKEA Food Co-Worker - Part Timer,IKEA,"Bengaluru, Karnataka",Internship,"₹33,676","Desire to provide an excellent customer experience.
Contributes to the implementation of the unit business plan and the IKEA Retail Food business plan and other…"
Italian Speaking Interpreter,Accenture Inc.4.0,"Hybrid work in Delhi, Delhi",Part-time,"₹47,093","Experience in providing customer service, analytical testing, quality assurance testing, or other relevant experience.
Paid sick and vacation leaves."
Executive - Customer Service,WorldWide Logistics India Pvt Ltd,"Bengaluru, Karnataka",Full-time,"₹41,634","Freight Forwarding - Customer Support for AIR & SEA - Import and Export.
Years of Experience - 2-4 Years.
Job Types: Full-time, Permanent, Fresher."
Global Solution Architect,Arcadis3.9,"Bengaluru, Karnataka",Permanent,"₹49,135","Expert understanding of Agile software delivery, design patterns, architecture styles, and domain-driven design."
Customer Service Representative,Trigent Software Pvt Ltd,"Bengaluru, Karnataka",Internship," ₹50,000","Provide excellent experience to the candidates.
Ensure and maintain the security and confidentiality of client data.
Customer service: 1 year (Preferred)."
HCLTech Hiring for (VOICE FRESHERS) FOR BANKING PROCESS on 20th Sep 2024,HCLTech3.7,"Chennai, Tamil Nadu",Full-time ,"₹67,830","HCL is hiring candidates who are passionate to work in an international voice process for a renowned banking process.*.
A problem solving mind-set."
Food and Beverage Supervisor,ZoloStays,"Bengaluru, Karnataka",Full-time,"₹74,529","Coordination with internal and external teams for food supplies.
Resolving food tickets raised by customers.
Customer calling to increase food subscription."
Ecommerce/Amazon Cataloging Intern,Gifts By Rashi,"Indore, Madhya Pradesh",Full-time,"₹67,617","4 - Monitor competitor product listings and industry trends to stay informed about market dynamics.
3 - Edit and enhance product content, including titles,…"
Warehouse Incharge,PMG Distribution Pvt Ltd,"Bengaluru, Karnataka",part-time," Up to ₹60,000","The person will be given responsibility of running and maintenance of the godown.
Key responsibilities are - Handling the staff, arranging vehicles for dispatch…"
Site Supervisor,SPECTARC,"Ashoknagar, Bengaluru, Karnataka",Full-time,"₹12,504","Understand the design process and fully comprehend the client s needs and goals.
Ensuring that all materials used and work performed are as per specifications…"
Freelance Copy Editor,Ansrsource,Remote,Monday to Friday ,"₹59,390","As a Copy Editor, you will be responsible for reviewing and editing written content for grammatical accuracy, clarity, and consistency."
"Amazon, Flipkart & DropShipping Expert",Webtech Solutions,Remote,Internship," ₹2,60,000 - ₹2,80,000","Trend Analysis: Stay informed about e-commerce trends, platform updates, and industry shifts to keep our strategies innovative and competitive."
Cafe Assistant,Lucidspire Private Limited,"Bengaluru, Karnataka",Full-time,"₹76,962","C) Exp : Fresher or Minimum 6 months (Experience Letter and Pay slip compulsory).
B) Minimum English to speak and read.
D) Exp from Cafe background."
"Transcriber (General,legal,Business) -Work from Home Full time",EarningsScript Pvt.Ltd.,Remote,Full-time ,"₹29,982","Adhering to the industry practices and confidentiality guidelines at all times.
Translating the recorded audio hearings into text documents."
Inside Sales Representative - India Market,IWG2.4,"Delhi, Delhi",Full-time," ₹15,443.21 - ₹76,173.88",Proven track record of selling products or service solutions over the phone within a business-to-business sales environment.
Home tuitions,RightTutor,"Bengaluru, Karnataka",Part-time,"₹16,944","Job Type: Part-time/Full-time*.
Tutors will either travel to the student’s home or host lessons at their own place.
Assess and monitor student progress."
Data Entry Operator,Swaniti Initiative,"Jamshedpur, Jharkhand",Full-time,"₹18,222","Our interventions have included strengthening scheme implementation by identifying current gaps and limitations, providing research support to Hon’ble Members…"
Back Office Assistant-Intern,Medyug Technology Pvt Ltd,Remote,Internship," ₹20,000 - ₹45,000","Provide regular reports and updates on the performance of AI systems to stakeholders.
1.Review AI-generated responses across various platforms and applications."
pickers and packers,Flipkart Services Private Limited,"Yelahanka, Bengaluru, Karnataka",Full-time,"₹11,194","Picking and packing and loading and unloading and put away and audit.
Job Types: Full-time, Permanent, Fresher.
Total work: 1 year (Preferred)."
Company Secretary,CMC Groups of Institutions,"Sungam, Coimbatore, Tamil Nadu",Full-time,"₹57,263",We are seeking an experienced and highly organized Personal Secretary to provide comprehensive administrative and secretarial support to our Director.
KG Teachers,"Greenvalley International School, Trivandrum","Thiruvananthapuram, Kerala",Internship,"₹66,191","Demonstrated knowledge of current instructional strategies preferred.
Displays a passion for developing preschool-age appropriate educational activities and…"
Customer Service Assistant,TripFactory,"Bengaluru, Karnataka",Internship," ₹30,000 - ₹35,000","You will provide excellent travel-related support and assistance to our customers, ensuring smooth coordination of travel bookings, itineraries, and related…"
Pre - Sales - US Shift,Bhanzu,Remote,Full-time,"₹22,252","Learning & using our customer relations management software & others related computer.
Collating and maintaining client information in the CRM database."
Assistant Supervisor,PLENTIFUL VENDOR,"Jabalpur, Madhya Pradesh",part-time,"₹31,085","Restock and organize merchandise on the sales floor.
Answer customer questions and assist with requests.
Resolve customer complaints and issues in a timely and…"
Data Entry Operator cum Office Assistant,Konnectbrands,Remote,Internship," ₹15,000 - ₹20,000","This is much more than a Data Entry Operator role, you will be responsible for entering and updating data to multiple clients' personal databases while…"
Visa Counselor,SHAYONAM OVERSEAS,"Nadiad, Gujarat",Internship,"₹45,917","The Visa Counselor will be responsible for guiding clients through the visa application process, ensuring that all required documentation is prepared accurately…"
Ticketing Executive,FUTURE TICKETING GROUP PRIVATE LIMITED,"Delhi, Delhi",Full-time,"₹15,324","Assist customers with problems that may arise during travel.
Assist customers in booking flights, including providing information on available airlines, flight…"
IT SUPPORT FREELANCER / PART TIME,Zavasi,"Bengaluru, Karnataka",Full-time," ₹10,000 - ₹25,000","Are you interested in being associated with us with your rich experience of IT infrastructure support, and need flexible working hours or Part Time job."
Visa Counselor,SHAYONAM OVERSEAS,"Nadiad, Gujarat",Full-time ,"₹26,784","The Visa Counselor will be responsible for guiding clients through the visa application process, ensuring that all required documentation is prepared accurately…"
International Voice Process ( WORK FROM OFFICE JOB ),Elysium Infotech Private Limited,"Wagle Estate, Thane, Maharashtra",Full-time," ₹21,664.45 - ₹28,783.28","Keep records of all conversations in our call center database in a comprehensible way..
_Priority to candidates those are from Thane, Navi Mumbai, Mumbai…"
Airline Ticketing,Quick Tour & Travels,"Mumbai, Maharashtra",Full-time ,"₹45,016","Working on customer’s itinerary and giving best possible fare on best connecting flight.
Maintain regular communication with customers prior to departure to…"
Teachers,Velammal New Gen Edu Network2.0,"Chennai, Tamil Nadu",part-time,"₹73,212","Plan, prepare, and deliver lessons that cater to different learning abilities and encourage active student participation."
"Virtual Customer Service Associate - Hyderabad, India",Amazon.com,Remote in India,Internship," ₹14,000 - ₹20,000","In order to match our customer demand, we schedule based on a variety of different shift patterns within the operating hours of 6 am and 11 pm Sunday to Monday."
US-Customer Service Representative,QuantumBricks,Remote,Full-time,"₹75,161","At least 1 - 3 years' of relevant work experience.
Excellent phone etiquette and excellent verbal, written, and interpersonal skills."
Graduate Trainee (Freshers),JAIN Launchpad,"Jayanagar, Bengaluru, Karnataka",Monday to Friday ,"₹75,422","Attention to detail in planning and communication is an asset.
JAIN Launchpad* is a Technology Business Incubator, Accelerator and Seed fund, supported by …"
content Writer (for Ludhiana Location),LEEFORD HEALTHCARE LIMITED4.5,"Gurugram, Haryana",Internship,"₹54,206","Keeping up-to-date with industry trends and best practices in content writing.
As a Content Writer, you will be responsible for creating engaging and SEO…"
Office Assistant,Techcruz Technologies,Remote,Full-time," ₹15,000.00 - ₹33,110.43",The ideal candidate will be a hard-working professional able to undertake a variety of office support tasks and work diligently under pressure.
voice process,No Broker,"Bengaluru, Karnataka",Full-time,"₹22,587","Using internal tools and methods to provide the best possible service to the customer.
Keeping customers up-to-date on the progress of his account."
Cyber Security Intern,Wahy Lab Solutions,"Kochi, Kerala",Internship,"₹32,990","Job Types: Full-time, Permanent, Fresher."
