Movie,Year,Rating
1. The Shawshank Redemption,1994,9.3 (2.9M)
2. The Godfather,1972,9.2 (2M)
3. The Dark Knight,2008,9.0 (2.9M)
4. The Godfather Part II,1974,9.0 (1.4M)
5. 12 Angry Men,1957,9.0 (883K)
6. Schindler's List,1993,9.0 (1.5M)
7. The Lord of the Rings: The Return of the King,2003,9.0 (2M)
8. Pulp Fiction,1994,8.9 (2.3M)
9. The Lord of the Rings: The Fellowship of the Ring,2001,8.9 (2M)
"10. The Good, the Bad and the Ugly",1966,8.8 (823K)
11. Forrest Gump,1994,8.8 (2.3M)
12. The Lord of the Rings: The Two Towers,2002,8.8 (1.8M)
13. Fight Club,1999,8.8 (2.4M)
14. Inception,2010,8.8 (2.6M)
15. Star Wars: Episode V - The Empire Strikes Back,1980,8.7 (1.4M)
16. The Matrix,1999,8.7 (2.1M)
17. GoodFellas,1990,8.7 (1.3M)
18. One Flew Over the Cuckoo's Nest,1975,8.7 (1.1M)
19. Interstellar,2014,8.7 (2.2M)
20. Seven,1995,8.6 (1.8M)
21. It's a Wonderful Life,1946,8.6 (505K)
22. Seven Samurai,1954,8.6 (372K)
23. The Silence of the Lambs,1991,8.6 (1.6M)
24. Saving Private Ryan,1998,8.6 (1.5M)
25. City of God,2002,8.6 (812K)
26. Life Is Beautiful,1997,8.6 (753K)
27. The Green Mile,1999,8.6 (1.4M)
28. Terminator 2: Judgment Day,1991,8.6 (1.2M)
29. Star Wars: Episode IV - A New Hope,1977,8.6 (1.5M)
30. Back to the Future,1985,8.5 (1.3M)
31. Spirited Away,2001,8.6 (869K)
32. The Pianist,2002,8.5 (930K)
33. Parasite,2019,8.5 (990K)
34. Psycho,1960,8.5 (729K)
35. Gladiator,2000,8.5 (1.7M)
36. The Lion King,1994,8.5 (1.2M)
37. Spider-Man: Across the Spider-Verse,2023,8.6 (399K)
38. The Departed,2006,8.5 (1.4M)
39. Whiplash,2014,8.5 (1M)
40. American History X,1998,8.5 (1.2M)
41. Leon,1994,8.5 (1.3M)
42. Grave of the Fireflies,1988,8.5 (318K)
43. The Prestige,2006,8.5 (1.5M)
44. Harakiri,1962,8.6 (71K)
45. Dune: Part Two,2024,8.5 (512K)
46. The Usual Suspects,1995,8.5 (1.2M)
47. Casablanca,1942,8.5 (613K)
48. Untouchable,2011,8.5 (944K)
49. Cinema Paradiso,1988,8.5 (288K)
50. Modern Times,1936,8.5 (263K)
51. Alien,1979,8.5 (978K)
52. Rear Window,1954,8.5 (530K)
53. Once Upon a Time in the West,1968,8.5 (353K)
54. City Lights,1931,8.5 (199K)
55. Django Unchained,2012,8.5 (1.7M)
56. Apocalypse Now,1979,8.4 (720K)
57. Memento,2000,8.4 (1.3M)
58. WALL·E,2008,8.4 (1.2M)
59. Raiders of the Lost Ark,1981,8.4 (1M)
60. 12th Fail,2023,8.9 (128K)
61. The Lives of Others,2006,8.4 (415K)
62. Sunset Blvd.,1950,8.4 (240K)
63. Avengers: Infinity War,2018,8.4 (1.2M)
64. Paths of Glory,1957,8.4 (216K)
65. Spider-Man: Into the Spider-Verse,2018,8.4 (691K)
66. Witness for the Prosecution,1957,8.4 (140K)
67. The Shining,1980,8.4 (1.1M)
68. The Great Dictator,1940,8.4 (240K)
69. Aliens,1986,8.4 (782K)
70. Inglourious Basterds,2009,8.4 (1.6M)
71. The Dark Knight Rises,2012,8.4 (1.9M)
72. Coco,2017,8.4 (610K)
73. Amadeus,1984,8.4 (434K)
74. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3 (524K)
75. Toy Story,1995,8.3 (1.1M)
76. Oldboy,2003,8.3 (649K)
77. American Beauty,1999,8.3 (1.2M)
78. Avengers: Endgame,2019,8.4 (1.3M)
79. Das Boot,1981,8.4 (267K)
80. Braveheart,1995,8.3 (1.1M)
81. Good Will Hunting,1997,8.3 (1.1M)
82. Princess Mononoke,1997,8.3 (442K)
83. Joker,2019,8.4 (1.5M)
84. Your Name.,2016,8.4 (332K)
85. High and Low,1963,8.4 (55K)
86. 3 Idiots,2009,8.4 (443K)
87. Once Upon a Time in America,1984,8.3 (383K)
88. Singin' in the Rain,1952,8.3 (264K)
89. Capernaum,2018,8.4 (109K)
90. Come and See,1985,8.4 (101K)
91. Requiem for a Dream,2000,8.3 (912K)
92. Toy Story 3,2010,8.3 (905K)
93. Star Wars: Episode VI - Return of the Jedi,1983,8.3 (1.1M)
94. Eternal Sunshine of the Spotless Mind,2004,8.3 (1.1M)
95. The Hunt,2012,8.3 (371K)
96. 2001: A Space Odyssey,1968,8.3 (730K)
97. Ikiru,1952,8.3 (90K)
98. Reservoir Dogs,1992,8.3 (1.1M)
99. Lawrence of Arabia,1962,8.3 (319K)
100. The Apartment,1960,8.3 (200K)
101. Incendies,2010,8.3 (209K)
102. Oppenheimer,2023,8.3 (793K)
103. North by Northwest,1959,8.3 (350K)
104. Scarface,1983,8.3 (932K)
105. Citizen Kane,1941,8.3 (471K)
106. Double Indemnity,1944,8.3 (170K)
107. M,1931,8.3 (171K)
108. Vertigo,1958,8.3 (433K)
109. Full Metal Jacket,1987,8.2 (801K)
110. Heat,1995,8.3 (731K)
111. Amélie,2001,8.3 (802K)
112. Up,2009,8.3 (1.1M)
113. A Clockwork Orange,1971,8.2 (891K)
114. To Kill a Mockingbird,1962,8.3 (336K)
115. A Separation,2011,8.3 (262K)
116. The Sting,1973,8.3 (283K)
117. Die Hard,1988,8.2 (958K)
118. Indiana Jones and the Last Crusade,1989,8.2 (820K)
119. Like Stars on Earth,2007,8.3 (210K)
120. Metropolis,1927,8.3 (188K)
121. Snatch,2000,8.2 (922K)
122. 1917,2019,8.2 (694K)
123. L.A. Confidential,1997,8.2 (625K)
124. Bicycle Thieves,1948,8.3 (178K)
125. Hamilton,2020,8.3 (117K)
126. Taxi Driver,1976,8.2 (939K)
127. Downfall,2004,8.2 (379K)
128. Dangal,2016,8.3 (216K)
129. Batman Begins,2005,8.2 (1.6M)
130. For a Few Dollars More,1965,8.2 (279K)
131. The Wolf of Wall Street,2013,8.2 (1.6M)
132. Green Book,2018,8.2 (592K)
133. Some Like It Hot,1959,8.2 (287K)
134. The Kid,1921,8.2 (137K)
135. Judgment at Nuremberg,1961,8.3 (87K)
136. The Truman Show,1998,8.2 (1.2M)
137. The Father,2020,8.2 (200K)
138. All About Eve,1950,8.2 (140K)
139. Shutter Island,2010,8.2 (1.5M)
140. There Will Be Blood,2007,8.2 (650K)
141. Top Gun: Maverick,2022,8.2 (729K)
142. Jurassic Park,1993,8.2 (1.1M)
143. Casino,1995,8.2 (573K)
144. Ran,1985,8.2 (138K)
145. The Sixth Sense,1999,8.2 (1.1M)
146. Pan's Labyrinth,2006,8.2 (710K)
147. Unforgiven,1992,8.2 (442K)
148. No Country for Old Men,2007,8.2 (1.1M)
149. The Thing,1982,8.2 (476K)
150. A Beautiful Mind,2001,8.2 (999K)
151. Kill Bill: Vol. 1,2003,8.2 (1.2M)
152. The Treasure of the Sierra Madre,1948,8.2 (134K)
153. Yojimbo,1961,8.2 (133K)
154. The Great Escape,1963,8.2 (262K)
155. Monty Python and the Holy Grail,1975,8.2 (576K)
156. Finding Nemo,2003,8.2 (1.1M)
157. Prisoners,2013,8.2 (829K)
158. Howl's Moving Castle,2004,8.2 (461K)
159. Rashomon,1950,8.2 (183K)
160. The Elephant Man,1980,8.2 (262K)
161. Dial M for Murder,1954,8.2 (192K)
162. Chinatown,1974,8.1 (355K)
163. Gone with the Wind,1939,8.2 (338K)
"164. Lock, Stock and Two Smoking Barrels",1998,8.1 (623K)
165. The Secret in Their Eyes,2009,8.2 (225K)
166. Inside Out,2015,8.1 (826K)
167. V for Vendetta,2005,8.1 (1.2M)
"168. Three Billboards Outside Ebbing, Missouri",2017,8.1 (564K)
